,,,,,,
,Name ,Description,,,,
,Agent,Perhaps we're asking the wrong questions.,,,,
,Alignment:,,,,,
,Lawful,,,,,
,Abilities:,Charges,Type,Description,Categories,Rarity (if AA)
,Follow,2,*,You will know everything your target does and to whom for the following cycle upon use. Does not include information related to triggered passives.,Investigation/Neutral/Visiting/Night,Common
,Hidden,2,*,"Upon use, the following day, anything done to you will be reflected back to the inflictor.",Redirection/Neutral/Non-Visiting/Night,Uncommon
,Passives:,Description,,,,
,Hawkeye,"If someone steals from you, you learn who it was.",,,,
,Insider,"Every time your neighbors gain a Betrayal or Death token, you earn one too.",,,,
,,,,,,
,Name ,Description,,,,
,Detective,The truth is out there.,,,,
,Alignment:,,,,,
,Lawful,,,,,
,Abilities:,Charges,Type,Description,Categories,Rarity (if AA)
,Search,7,*,"Find out what kind of action your target did most recently (Investigation, Killing, Healing etc.) and the player they used it on.",Investigation/Neutral/Visiting/Instant,Common
,Solve,0,*,Figure out any piece of information of your choice about a player. Gain a charge for this everyday if you are Detective.,Investigation/Positive/Non-Visiting/Instant,Uncommon
,Passives:,Description,,,,
,Clever,Immune to Blackmailed and Despaired.,,,,
,Self-Defense,"If anyone tries to attack you, they will fail and you will give them Blackmailed. Additionally, you find out their name and role.",,,,
,,,,,,
,Name ,Description,,,,
,Fisherman,Gone fishing.,,,,
,Alignment:,,,,,
,Lawful,,,,,
,Abilities:,Charges,Type,Description,Categories,Rarity (if AA)
,Reel,2,*,Select a living player - steal their most recently received item.,Theft/Negative/Visiting/Instant,Uncommon
,Hooked,2,*,"Until the end of the current day, any items/AAs your target gives or receives, you'll take instead.",Redirection/Neutral/Visiting/Instant,Rare
,Passives:,Description,,,,
,Secret Lure,"Each night, choose to see the last two items used in game. You may select one to keep.",,,,
,Barrels,You get an extra 4 inventory spaces.,,,,
,,,,,,
,Name ,Description,,,,
,Gunman,"Say, samurai trash, are you there?... The entrance to hell - I'll be waiting there for you!",,,,
,Alignment:,,,,,
,Lawful,,,,,
,Abilities:,Charges,Type,Description,Categories,Rarity (if AA)
,Fire,1,,"Shoot a player. If you kill someone who is your alignment, you die as well.",Killing/Negative/Visiting/Instant,
,Passives:,Description,,,,
,Confidence,"Once you’ve shot someone not your alignment, you become immune to all negative status effects.",,,,
,Ignorant,Cannot be redirected to another target when you attack somebody.,,,,
,Justice's Gift,"If you kill someone in the opposite alignment, you will obtain an Unreliable Wish and any AAs, items, and coins they had.",,,,
,,,,,,
,Name ,Description,,,,
,Hydra,"A multi-headed beast out on a quest to redeem itself for a place with God.",,,,
,Alignment:,,,,,
,Lawful,,,,,
,Abilities:,Charges,Type,Description,Categories,Rarity (if AA)
,Head Slam,0,,"Select someone, inflicting a negative status you are immune to of choice. Must cycle through all immunities before re-inflicting the same again.",Debuff/Negative/Visiting/Night,Rare
,Head-Shield,0,,"Select as many players as immunities that you currently have. If 0, pick 1. Negative actions done to your protected player will fail to work for one day phase.",Protection/Positive/Visiting/Night,Epic
,Visceral Roar,0,*,"Select someone, they will pick as many negative statuses they want and will gain vote power equal to this amount. Will be inflicted with them all post-elim. Selecting immunities will remove immunities.",Support/Neutral/Visiting,Epic
,Passives:,Description,,,,
,Regenerative,"If you or your allies are inflicted with a negative status, gain immunity to it at end of this cycle. This passive is optional, and you may pick which allies gains immunities.",,,,
